,Comunidad Autónoma o ciudad,Nombre de la Empresa,Resumen de la empresa,Especialidad de la Empresa,Sector de la empresa,Tamaño de la empresa,Fundación de la empresa,Página web de la empresa,Teléfono de la empresa,Perfil en linkedin
0,Andalucía,"Garaje de ideas | Diseño, tecnología, data, SEO, SEM","Somos una agencia de Diseño UX, Tecnología Data y Growth. En Garaje de ideas diseñamos servicios y productos basados en datos que mejoran la vida de las personas, transforman los negocios y tienen un impacto cultural y económico positivo... pero sin parecernos a otros, siendo nosotros mismos, creando un nuevo modelo de consultoría.","Design-driven Innovation, Strategic Design, Digital Strategy, User Experience Design y Growth",Servicios de TI y consultoría de TI,51-200 empleados,2015,https://garajedeideas.com,+34 910 51 94 90,https://www.linkedin.com/company/garaje-de-ideas/
1,Andalucía,GWC Data Cloud,"Somos una empresa especialista en servicios Cloud con Data Center Propio. Ofrecemos soluciones de nube privada y pública, así como interconexión de sedes y soluciones de Backup/DR.",Unknown,Telecomunicaciones,11-50 empleados,2015,http://www.gwc.global,900 730 330,https://www.linkedin.com/company/gw-consulting/
2,Andalucía,EPAM Systems,"Since 1993, EPAM Systems, Inc. (NYSE: EPAM) has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider – leading the industry in digital and physical product development and digital platform engineering services. Through its innovative strategy; integrated advisory, consulting, and design capabilities; and unique ‘Engineering DNA,’ EPAM’s globally deployed hybrid teams help make the future real for clients and communities around the world by powering better enterprise, education and health platforms that connect people, optimize experiences, and improve people’s lives. In 2021, EPAM was added to the S&P 500 and included among the list of Forbes Global 2000 companies.
 
Selected by Newsweek as a 2021 Most Loved Workplace, EPAM’s global multi-disciplinary teams serve customers in more than 50 countries across six continents. As a recognized leader, EPAM is listed among the top 15 companies in Information Technology Services on the Fortune 1000 and ranked as the top IT services company on Fortune’s 100 Fastest-Growing Companies list for the last three consecutive years. EPAM is also listed among Ad Age’s top 25 World’s Largest Agency Companies for three consecutive years, and Consulting Magazine named EPAM Continuum a top 20 Fastest-Growing Firm.

Learn more at www.epam.com.",Unknown,Servicios de TI y consultoría de TI,+10.001 empleados,1993,http://www.epam.com,+1-267-759-9000,https://www.linkedin.com/company/epam-systems/
3,Andalucía,UST,Unknown,Unknown,Unknown,+10.001 empleados,Unknown,http://www.ust.com,Unknown,https://www.linkedin.com/company/ustglobal/
4,Andalucía,Hays,Unknown,Unknown,Unknown,5001-10.000 empleados,Unknown,http://www.haysplc.com,Unknown,https://www.linkedin.com/company/hays/
5,Andalucía,SCC,"SCC unleashes the potential of IT for global businesses, as one of Europe’s largest independent IT groups.

Operating out of 65+ locations in the UK, France, Romania, Spain and Vietnam, SCC delivers limitless IT solutions in partnership with the world’s best technology vendors.

We provide multi-award-winning data centre modernisation services, networks and communications, workplace productivity, business process outsourcing, security and innovation solutions to customers in a broad range of public and private industry sectors.

We’re trusted to discover, design, supply, migrate, manage and optimise IT that supports European economies through enduring partnership, driven by curiosity and inspired by innovation.",Unknown,Unknown,5001-10.000 empleados,Unknown,https://www.scc.com/,Unknown,https://www.linkedin.com/company/scc/
6,Andalucía,Ciklum,"Ciklum is a global Digital Solutions Company for Fortune 500 and fast-growing organisations alike around the world. The company is headquartered in London and has software development centres and branch offices in the United States, Spain, Switzerland, Denmark, Israel, Poland, Ukraine, UAE and Pakistan.

Ciklum builds tailored digital solutions that leverage emerging technologies for such clients as Just Eat, Flixbus, Metro Markets, EFG International, Zurich Insurance, Lottoland and others.

For more information about us visit www.ciklum.com",Unknown,Servicios de TI y consultoría de TI,1001-5000 empleados,2002,http://www.ciklum.com,+44 20 3912 2825,https://www.linkedin.com/company/ciklum/
7,Andalucía,First Point Group,"We are a leading, global recruitment company within Telecommunications & Network Technology; our complete focus in 12 specialist  areas has enabled us to become industry experts.

OUR SPECIALISMS:
- Wireless Network Infrastructure
- Open RAN & Disaggregated Networks
- Wireless Network Design, Testing & Optimisation
- Broadband & Fixed line
- Cloud, Edge & Network Virtualization
- Transport, Optical & IP Networks
- Software & DevOps
- Digital Commerce & Enterprise
- Smart Technology & IOT
- Automation, AI & Big Data
- Technology Sales & Professional Services
- Cyber & Information Security

We love being part of the evolution of telecommunications and network technology, and recruit for a range of businesses, from the world’s largest tech/telco companies to emerging start-ups and consultancies. 

Our recruitment services have been recognised over the last 17 years through many awards including ‘Best International Recruitment Agency’ & ‘Best Client Service’ with many more that can be found on the Awards page of our website. 

Our mission is to be the largest, most respected Telecommunications & Network Technology recruitment company, achieving this through organic growth, investing in our people and prov,iding exceptional service to our clients and candidates.","Telecom Recruitment Services, Technology Recruitment Services, Communications Recruitment Services, Cloud Recruitment Services, IT Recruitment Services, Information Security Recruitment Services, Open RAN Recruitment Services, 5G Recruitment Services y Technology Sales Recruitment Services",Dotación y selección de personal,201-500 empleados,2004,http://www.firstpointgroup.com,+442077584190,https://www.linkedin.com/company/first-point-group/
8,Andalucía,atSistemas,"¿Cómo somos?

Somos la unión de personas, tecnología y negocio. La COLABORACIÓN y el gran espíritu de equipo de todos los que formamos parte de atSistemas son algunos de los ingredientes que nos han permitido ser un equipo de profesionales con más de 2.000 personas y 25 nacionalidades diferentes. 
 
¿Cuál es nuestro secreto? 

Trabajamos con COMPROMISO y CONFIANZA en las personas. Aplicamos los conocimientos y la experiencia de cada uno de nosotros para perseguir la excelencia. Disfrutamos con lo que hacemos y eso nos impulsa a transformar situaciones complejas en retos cargados de ilusión y DIVERSIÓN. 

¿Cuál es nuestra trayectoria? 

No entendemos de límites; nuestros más de 28 años de experiencia nos han convertido en uno de los referentes del mercado. Gracias a nuestros profesionales dedicados desde 1994 a la consultoría, servicios de TI y desarrollo de software, combinamos nuestra especialización en tecnologías de vanguardia con un amplio conocimiento de los retos de negocio de nuestros clientes. Todo ello, unido a nuestra gran apuesta por la INNOVACIÓN, ha hecho que más de 300 compañías de todos los sectores hayan confiado en nosotros para ofrecerles soluciones innovadoras y acompañarlas en su Transformación Digital.  

Desde nuestras oficinas de Madrid, Barcelona, Cádiz, A Coruña, Palma de Mallorca, Zaragoza, Huelva, Valencia, Milán, Lisboa, Montevideo y Miami realizamos proyectos centrados en Enterprise Architecture & DevOps, Atlassian, Consultoría & Metodología, Integración & Desarrollo, IT Infrastructure Services, Big Data & Analytics, eCommerce, User Experience, Cloud e Inteligencia Artificial.

Además, nuestra apuesta internacional nos ha hecho globales, actualmente desarrollamos proyectos en más de 12 países.

¿Te gustaría inventar el futuro con nosotros?  

Si pudieras diseñar la tecnología del futuro, ¿cómo sería? Tenemos una visión y la queremos compartir contigo, porque la tecnología digital del futuro es posible hoy con nosotros.

¿Hablamos?",Unknown,Servicios de TI y consultoría de TI,1001-5000 empleados,1994,http://atsistemas.com,634 88 80 00,https://www.linkedin.com/company/atsistemas/
9,Andalucía,idealista,"idealista es el principal punto de encuentro para todas aquellas personas que buscan una vivienda (o local, edificio...) ya sea en compra o en alquiler, y aquellas personas que las ofertan. Llevamos desde el año 2000 ayudando a todos nuestros usuari@s a superar la ansiedad y la frustración que supone encontrar un hogar.

Tenemos una actitud de innovación constante y nunca bajamos la guardia: Somos data driven y trabajamos para ofrecer la información más completa y actualizada a nuestros usuari@s en el dispositivo que ellos elijan (smartphones, tablets, ordenadores e incluso en los relojes inteligentes).

Hemos sumado a nuestro proyecto nuevos servicios: idealista/hipotecas, idealista/tools, idealista/news, idealista/data, idealista/seguros, Rentalia, Yaencontré, Rentger, Avaibook, Casa.it, Gestim y Miogest, que hacen que idealista sea el mejor aliado para todos los interesados en el sector inmobiliario. De hecho, nuestros números no han parado de crecer en estos 20 años y actualmente tenemos presencia en 3 países, usuarios de todo el mundo y más de 200 millones de visitas al mes, generando el mayor tráfico en inmobiliario de Europa.

En idealista no creemos en las estructuras ni en los organigramas que contemplan a las personas como ""cajitas"". Apostamos por la integración de los equipos en grupos diversos, fuertemente cohesionados e interrelacionados, basados en la responsabilidad y en el trabajo en equipo.

En estos momentos tenemos oficinas en tres países europeos: España (Madrid, Barcelona y Málaga), Italia (Milán) y Portugal (Lisboa), aunque contamos idealistas en muchísimos otros puntos de estos países.",Unknown,"Tecnología, información e internet",501-1000 empleados,2000,http://www.idealista.com,917882791,https://www.linkedin.com/company/idealista-com/
